#%guid=08134ad0-cc68-4b23-38e8-703012641054
cel_files	qc-call-rate-all	qc-call-rate-nsp	qc-call-rate-sty	qc-call-rate-nsp-sty-ovlp	em-cluster-chrX-het-contrast_gender	em-cluster-chrX-het-contrast_gender_chrX_het_rate	contrast-qc	contrast-qc-rand	contrast-qc-nsp	contrast-qc-sty	contrast-qc-nsp-sty-ovlp
SHAWM_p_TCGAb72_SNP_N_GenomeWideSNP_6_D03_697980.CEL	0.90536	0.90488	0.87601	0.91682	female	0.25711	0.74946	0.74946	1.49000	1.17000	1.23500
BITES_p_TCGAb61_SNP_S_GenomeWideSNP_6_D07_697058.CEL	0.97816	0.96658	0.97101	0.98644	female	0.24983	2.52677	2.52677	3.62500	3.09500	3.24000
URAEI_p_TCGASNP_b85_N_GenomeWideSNP_6_D04_735094.CEL	0.93746	0.93059	0.88889	0.95933	female	0.24018	2.39829	2.39829	2.89500	2.55500	3.03500
JOUAL_p_TCGA_b96_SNP_N_GenomeWideSNP_6_B11_747940.CEL	0.90635	0.88560	0.88728	0.92360	female	0.23842	0.76017	0.76017	0.10500	0.37500	1.08500
JOUAL_p_TCGA_b96_SNP_N_GenomeWideSNP_6_G10_747886.CEL	0.95136	0.93830	0.92110	0.96919	female	0.24530	2.64454	2.64454	2.62500	3.12500	3.20500
HAULS_p_TCGAb47_SNP_2N_GenomeWideSNP_6_E04_628414.CEL	0.97551	0.96915	0.97585	0.97843	female	0.23401	2.10921	2.10921	2.58000	2.51500	2.86000
URAEI_p_TCGASNP_b85_N_GenomeWideSNP_6_A02_735170.CEL	0.91496	0.90746	0.87601	0.93346	female	0.28693	1.20985	1.20985	1.75000	1.75500	2.28000
JOUAL_p_TCGA_b96_SNP_N_GenomeWideSNP_6_C06_748044.CEL	0.90040	0.86889	0.84702	0.93592	female	0.22757	0.62099	0.62099	0.14000	0.88500	0.91000
BITES_p_TCGAb61_SNP_S_GenomeWideSNP_6_E01_697052.CEL	0.98345	0.98201	0.97101	0.98891	female	0.24654	2.55889	2.55889	3.78000	2.32000	3.25500
JOUAL_p_TCGA_b96_SNP_N_GenomeWideSNP_6_D01_747998.CEL	0.97816	0.96915	0.97101	0.98521	female	0.23613	2.67666	2.67666	2.61500	3.36500	3.07500
JOUAL_p_TCGA_b96_SNP_N_GenomeWideSNP_6_F06_747880.CEL	0.97121	0.96272	0.95974	0.97967	male	0.04818	2.53747	2.53747	2.65500	2.80500	2.82500
JOUAL_p_TCGA_b96_SNP_N_GenomeWideSNP_6_B04_748050.CEL	0.92720	0.91388	0.87279	0.95441	female	0.27020	1.25268	1.25268	0.82000	1.61000	1.32000
SHAWM_p_TCGAb72_SNP_N_GenomeWideSNP_6_A04_698118.CEL	0.96459	0.94473	0.95652	0.97720	female	0.25328	2.74090	2.74090	3.44000	3.60000	3.81500
BITES_p_TCGAb61_SNP_S_GenomeWideSNP_6_F01_697046.CEL	0.97651	0.97301	0.96618	0.98213	female	0.24882	1.73448	1.73448	2.55000	1.41500	2.42000
URAEI_p_TCGASNP_b85_N_GenomeWideSNP_6_B01_735184.CEL	0.96327	0.95501	0.94686	0.97351	female	0.23592	2.47323	2.47323	3.23500	3.26000	3.23000
HITCH_p_TCGASNP_b93_N_GenomeWideSNP_6_H03_741422.CEL	0.97948	0.96915	0.96296	0.99076	female	0.24264	2.33405	2.33405	2.71000	2.85500	3.17500
BITES_p_TCGAb61_SNP_S_GenomeWideSNP_6_A01_697138.CEL	0.96327	0.94859	0.94364	0.97782	female	0.23602	2.70878	2.70878	3.06500	3.17000	3.35000
SHAWM_p_TCGAb72_SNP_N_GenomeWideSNP_6_B11_698038.CEL	0.98743	0.99100	0.97262	0.99137	female	0.23691	3.67238	3.67238	3.59000	3.74000	3.94000
HITCH_p_TCGASNP_b93_N_GenomeWideSNP_6_B12_741446.CEL	0.96393	0.95887	0.92432	0.98152	female	0.26995	3.06210	3.06210	3.68000	3.93000	3.89500
JOUAL_p_TCGA_b96_SNP_N_GenomeWideSNP_6_B09_748032.CEL	0.89775	0.86504	0.87601	0.92175	female	0.21726	0.48180	0.48180	0.00000	0.30000	0.69500
BITES_p_TCGAb61_SNP_S_GenomeWideSNP_6_D02_697126.CEL	0.97915	0.96787	0.96296	0.99076	female	0.23970	2.73019	2.73019	3.38000	3.44000	3.42000
BITES_p_TCGAb61_SNP_S_GenomeWideSNP_6_D08_697018.CEL	0.97783	0.96658	0.97262	0.98521	female	0.23746	3.11563	3.11563	3.52500	3.01500	3.44500
URAEI_p_TCGASNP_b85_N_GenomeWideSNP_6_C05_735060.CEL	0.93316	0.92416	0.90177	0.94948	female	0.24257	1.46681	1.46681	1.15000	1.68500	1.74000
BITES_p_TCGAb61_SNP_S_GenomeWideSNP_6_H01_697038.CEL	0.93349	0.92931	0.92432	0.93900	female	0.23695	1.56317	1.56317	2.29500	1.43000	2.08500
JOUAL_p_TCGA_b96_SNP_N_GenomeWideSNP_6_C01_747962.CEL	0.96459	0.96530	0.94042	0.97351	female	0.22989	2.20557	2.20557	2.21000	2.41000	2.21500
BITES_p_TCGAb61_SNP_S_GenomeWideSNP_6_H08_697034.CEL	0.97022	0.96530	0.95491	0.97843	female	0.24278	2.25910	2.25910	2.68500	1.45000	2.63500
HITCH_p_TCGASNP_b93_N_GenomeWideSNP_6_D09_741542.CEL	0.94904	0.93959	0.91948	0.96488	female	0.24842	1.90578	1.90578	2.87500	2.93500	2.79000
HITCH_p_TCGASNP_b93_N_GenomeWideSNP_6_G09_741414.CEL	0.97849	0.97686	0.96135	0.98583	female	0.24840	2.00214	2.00214	2.63500	2.47500	2.69500
HITCH_p_TCGASNP_b93_N_GenomeWideSNP_6_B09_741578.CEL	0.93845	0.92416	0.90016	0.95995	female	0.22482	2.55889	2.55889	3.17000	3.52500	3.46000
HITCH_p_TCGASNP_b93_N_GenomeWideSNP_6_E08_741470.CEL	0.92753	0.92159	0.90660	0.93839	female	0.21415	0.99572	0.99572	1.40500	1.53500	1.60000
HITCH_p_TCGASNP_b93_N_GenomeWideSNP_6_G03_741556.CEL	0.93250	0.91902	0.90177	0.95071	female	0.22363	1.93790	1.93790	1.48500	2.25000	2.19500
HITCH_p_TCGASNP_b93_N_GenomeWideSNP_6_G05_741532.CEL	0.97684	0.98072	0.95330	0.98398	female	0.23126	2.37687	2.37687	2.78500	2.60000	2.46500
HITCH_p_TCGASNP_b93_N_GenomeWideSNP_6_G06_741568.CEL	0.97551	0.97044	0.95974	0.98398	female	0.24265	2.85867	2.85867	3.12500	3.69500	3.41500
HITCH_p_TCGASNP_b93_N_GenomeWideSNP_6_G10_741566.CEL	0.96393	0.95630	0.94364	0.97535	female	0.22341	2.45182	2.45182	3.04500	2.88500	2.71500
RANDS_p_TCGA_b109_SNP_1N_GenomeWideSNP_6_E05_771942.CEL	0.95367	0.94344	0.92915	0.96796	female	0.27182	2.08779	2.08779	1.89000	2.16500	2.34500
GAMMA_p_TCGA_b103_104_SNP_N_GenomeWideSNP_6_D07_755944.CEL	0.96989	0.96915	0.94847	0.97843	female	0.23635	1.78801	1.78801	2.58500	2.51500	2.68500
GAMMA_p_TCGA_b103_104_SNP_N_GenomeWideSNP_6_G07_755864.CEL	0.94308	0.93702	0.89855	0.96303	female	0.26278	2.07709	2.07709	3.03500	2.91000	3.32500
GAMMA_p_TCGA_b103_104_SNP_N_GenomeWideSNP_6_D12_755790.CEL	0.95400	0.94473	0.93398	0.96611	female	0.23138	2.43041	2.43041	3.42500	3.23500	3.31500
GAMMA_p_TCGA_b103_104_SNP_N_GenomeWideSNP_6_B03_755950.CEL	0.96095	0.95501	0.92432	0.97782	female	0.23024	2.60171	2.60171	3.09500	2.80500	2.89000
GAMMA_p_TCGA_b103_104_SNP_N_GenomeWideSNP_6_D04_755936.CEL	0.96592	0.96915	0.92432	0.98028	female	0.27024	2.68737	2.68737	3.61500	3.51000	3.52000
GAMMA_p_TCGA_b103_104_SNP_N_GenomeWideSNP_6_G03_755814.CEL	0.96691	0.96658	0.93720	0.97843	female	0.25879	2.97645	2.97645	3.52500	3.37000	3.41500
RANDS_p_TCGA_b109_SNP_1N_GenomeWideSNP_6_E11_771938.CEL	0.92124	0.89974	0.89372	0.94208	female	0.22326	0.00000	0.00000	0.01500	0.00000	0.56500
RANDS_p_TCGA_b109_SNP_1N_GenomeWideSNP_6_E08_772034.CEL	0.96426	0.94473	0.95008	0.97905	female	0.22603	2.21627	2.21627	2.77000	3.02500	2.90500
RANDS_p_TCGA_b109_SNP_1N_GenomeWideSNP_6_B05_771940.CEL	0.97220	0.96401	0.94847	0.98521	female	0.26145	3.04069	3.04069	3.31000	3.65500	3.75000
RANDS_p_TCGA_b109_SNP_1N_GenomeWideSNP_6_E06_771948.CEL	0.95797	0.94602	0.95330	0.96550	female	0.29384	2.28051	2.28051	1.80000	2.06000	1.92500
RANDS_p_TCGA_b109_SNP_1N_GenomeWideSNP_6_C09_771932.CEL	0.96426	0.94987	0.95652	0.97412	female	0.24944	2.75161	2.75161	3.28500	3.51000	3.34000
RANDS_p_TCGA_b109_SNP_1N_GenomeWideSNP_6_D01_772032.CEL	0.96294	0.95373	0.95330	0.97104	female	0.25429	1.47752	1.47752	2.14000	1.87000	2.17000
RANDS_p_TCGA_b109_SNP_1N_GenomeWideSNP_6_A12_771946.CEL	0.97684	0.97429	0.96135	0.98398	female	0.25726	2.46253	2.46253	2.84000	2.89000	3.10500
RANDS_p_TCGA_b109_SNP_1N_GenomeWideSNP_6_F10_771852.CEL	0.94937	0.93445	0.92110	0.96734	female	0.25676	1.59529	1.59529	1.88000	1.77500	2.45000
RANDS_p_TCGA_b109_SNP_1N_GenomeWideSNP_6_G02_771854.CEL	0.95433	0.95373	0.93076	0.96365	female	0.23687	2.02355	2.02355	2.11500	2.30000	2.77500
RANDS_p_TCGA_b109_SNP_1N_GenomeWideSNP_6_B07_772026.CEL	0.96559	0.94987	0.95813	0.97597	female	0.24407	2.09850	2.09850	2.65500	2.95500	2.86000
RANDS_p_TCGA_b109_SNP_1N_GenomeWideSNP_6_B03_771944.CEL	0.95268	0.92802	0.94203	0.96858	female	0.22407	2.23769	2.23769	2.92500	3.10500	3.21500
RANDS_p_TCGA_b109_SNP_1N_GenomeWideSNP_6_B08_771964.CEL	0.96161	0.94859	0.94525	0.97412	female	0.25361	2.44111	2.44111	3.04000	3.07500	3.02500
CHEEP_p_TCGA_b120_121_SNP_N_GenomeWideSNP_6_E04_777718.CEL	0.97882	0.96401	0.97262	0.98829	female	0.26604	2.98715	2.98715	3.45000	3.78000	3.56000
EXINE_p_TCGA_b142_SNP_N_GenomeWideSNP_6_D07_802408.CEL	0.96856	0.96787	0.93398	0.98213	female	0.25527	2.17345	2.17345	2.70000	3.27000	2.80500
USAGE_p_TCGA_132_133_136_SNP_N_GenomeWideSNP_6_A11_787524.CEL	0.97584	0.97044	0.96618	0.98213	female	0.24604	2.51606	2.51606	2.62000	2.98500	3.19500
USAGE_p_TCGA_132_133_136_SNP_N_GenomeWideSNP_6_H03_787622.CEL	0.96360	0.95501	0.94847	0.97351	female	0.25185	2.83726	2.83726	3.50500	3.37500	3.36000
USAGE_p_TCGA_132_133_136_SNP_N_GenomeWideSNP_6_G04_787528.CEL	0.93845	0.91388	0.90821	0.96180	female	0.27439	2.82655	2.82655	2.81000	2.67500	2.89500
HITCH_p_TCGASNP_b93_N_GenomeWideSNP_6_C05_741490.CEL	0.97452	0.96144	0.95974	0.98644	female	0.24202	3.19058	3.19058	3.75500	3.80500	3.82500
HITCH_p_TCGASNP_b93_N_GenomeWideSNP_6_B02_741474.CEL	0.96161	0.95116	0.93237	0.97782	female	0.23835	2.64454	2.64454	3.04000	3.86000	3.68000
GAMMA_p_TCGA_b103_104_SNP_N_GenomeWideSNP_6_D10_755922.CEL	0.95003	0.95116	0.89694	0.96981	female	0.23676	1.90578	1.90578	3.15500	3.10000	3.06500
HITCH_p_TCGASNP_b93_N_GenomeWideSNP_6_D02_741476.CEL	0.90106	0.87147	0.86473	0.92914	female	0.22076	0.24625	0.24625	0.06000	0.43500	0.86000
GOOFS_p_TCGA_b117_118_SNP_N_GenomeWideSNP_6_A02_778042.CEL	0.96261	0.93445	0.95652	0.97843	female	0.24390	2.30193	2.30193	2.78500	2.55500	3.09000
GOOFS_p_TCGA_b117_118_SNP_N_GenomeWideSNP_6_B01_778072.CEL	0.95136	0.92802	0.94525	0.96488	female	0.23745	2.55889	2.55889	2.59500	3.40000	3.34500
GOOFS_p_TCGA_b117_118_SNP_N_GenomeWideSNP_6_E04_778046.CEL	0.95963	0.94216	0.94525	0.97351	female	0.31291	2.40899	2.40899	2.06500	2.12500	2.36500
CHEEP_p_TCGA_b120_121_SNP_N_GenomeWideSNP_6_A11_777588.CEL	0.95202	0.94859	0.93398	0.96057	female	0.24106	2.75161	2.75161	3.90000	3.48000	3.68000
BULGY_p_TCGA_bM1_124_SNP_N_GenomeWideSNP_6_F08_780882.CEL	0.96790	0.96144	0.95491	0.97597	female	0.25474	2.67666	2.67666	2.64000	3.03500	2.90000
CHEEP_p_TCGA_b120_121_SNP_N_GenomeWideSNP_6_G11_777584.CEL	0.95963	0.94216	0.95008	0.97166	female	0.26322	1.88437	1.88437	2.54500	2.45500	2.82500
CHEEP_p_TCGA_b120_121_SNP_N_GenomeWideSNP_6_F02_777578.CEL	0.97253	0.96658	0.95652	0.98152	female	0.24865	2.34475	2.34475	3.37000	3.49000	3.15500
GOOFS_p_TCGA_b117_118_SNP_N_GenomeWideSNP_6_C06_778040.CEL	0.93481	0.90617	0.91948	0.95441	female	0.23147	2.07709	2.07709	1.63500	2.88500	2.98000
GOOFS_p_TCGA_b117_118_SNP_N_GenomeWideSNP_6_A08_777976.CEL	0.97055	0.95244	0.95491	0.98521	female	0.25022	2.16274	2.16274	2.90500	2.95000	3.08500
CHEEP_p_TCGA_b120_121_SNP_N_GenomeWideSNP_6_E03_777600.CEL	0.95665	0.92931	0.95974	0.96858	female	0.23445	2.49465	2.49465	2.69500	3.56500	3.36500
BULGY_p_TCGA_bM1_124_SNP_N_GenomeWideSNP_6_A11_780802.CEL	0.91463	0.88046	0.88728	0.94147	female	0.23325	2.00214	2.00214	2.21000	2.49500	2.87000
BULGY_p_TCGA_bM1_124_SNP_N_GenomeWideSNP_6_D02_780790.CEL	0.96856	0.96272	0.95008	0.97843	female	0.27554	2.82655	2.82655	2.93000	3.41500	3.56500
USAGE_p_TCGA_132_133_136_SNP_N_GenomeWideSNP_6_B10_787596.CEL	0.96228	0.94987	0.95330	0.97166	female	0.25188	2.33405	2.33405	2.29500	2.77500	2.84500
USAGE_p_TCGA_132_133_136_SNP_N_GenomeWideSNP_6_F02_787544.CEL	0.95334	0.93959	0.92915	0.96919	female	0.25303	2.75161	2.75161	3.05500	3.84000	3.99000
USAGE_p_TCGA_132_133_136_SNP_N_GenomeWideSNP_6_D04_787576.CEL	0.96525	0.95501	0.94525	0.97782	female	0.26168	2.76231	2.76231	2.68500	3.20500	3.11500
USAGE_p_TCGA_132_133_136_SNP_N_GenomeWideSNP_6_D07_787494.CEL	0.92389	0.89846	0.88728	0.95009	female	0.23002	2.16274	2.16274	2.02000	2.86500	2.90500
EXINE_p_TCGA_b142_SNP_N_GenomeWideSNP_6_B05_802402.CEL	0.96360	0.96272	0.94525	0.97104	female	0.24701	2.78373	2.78373	3.65500	3.70000	3.60000
EXINE_p_TCGA_b142_SNP_N_GenomeWideSNP_6_D08_802352.CEL	0.94970	0.93573	0.91304	0.97043	female	0.22503	2.17345	2.17345	3.12500	3.25000	3.22500
WRIED_p_TCGA_143_147_150_Hahn_N_GenomeWideSNP_6_A09_799960.CEL	0.94077	0.93702	0.86795	0.97043	female	0.22725	2.04497	2.04497	2.45000	2.96000	2.46000
CUSKS_p_TCGAb47_SNP_1N_GenomeWideSNP_6_A08_628220.CEL	0.82627	0.79049	0.77617	0.86260	female	0.22490	0.21413	0.21413	0.49000	0.34500	0.86000
COZEN_p_TCGAb56_SNP_2N_GenomeWideSNP_6_D01_667082.CEL	0.96989	0.96787	0.93720	0.98336	female	0.25741	1.71306	1.71306	1.38500	1.82000	1.87500
COZEN_p_TCGAb56_SNP_2N_GenomeWideSNP_6_D11_667058.CEL	0.97684	0.97815	0.96135	0.98213	female	0.23495	1.89507	1.89507	1.54500	2.14500	1.98500
SHAWM_p_TCGAb72_SNP_N_GenomeWideSNP_6_E07_698136.CEL	0.97088	0.96272	0.95813	0.97967	female	0.23425	2.62313	2.62313	2.74500	2.94000	2.87500
SHAWM_p_TCGAb72_SNP_N_GenomeWideSNP_6_B04_698100.CEL	0.98379	0.97686	0.97424	0.99076	female	0.18849	2.81585	2.81585	3.38000	2.99500	3.40000
SHAWM_p_TCGAb72_SNP_N_GenomeWideSNP_6_B12_698074.CEL	0.98478	0.97815	0.97907	0.99014	female	0.23210	3.38330	3.38330	3.43500	3.39500	3.81500
SHAWM_p_TCGAb72_SNP_N_GenomeWideSNP_6_A07_698116.CEL	0.98544	0.98458	0.97585	0.98953	female	0.24184	3.54390	3.54390	3.98000	3.44500	3.61000
BONZE_p_TCGAb56_SNP_1N_GenomeWideSNP_6_G03_666938.CEL	0.97419	0.96787	0.96457	0.98090	female	0.31615	2.54818	2.54818	2.31000	1.74500	2.37500
BONZE_p_TCGAb56_SNP_1N_GenomeWideSNP_6_H04_666900.CEL	0.98180	0.97943	0.97101	0.98706	female	0.23689	2.69807	2.69807	2.86500	3.16000	3.27500
URAEI_p_TCGASNP_b85_N_GenomeWideSNP_6_E07_735114.CEL	0.91231	0.89846	0.84863	0.94331	female	0.23042	2.53747	2.53747	2.74000	3.22500	3.24500
URAEI_p_TCGASNP_b85_N_GenomeWideSNP_6_E09_735140.CEL	0.93779	0.93316	0.90821	0.95132	female	0.24756	2.40899	2.40899	3.17000	3.41500	3.38000
BONZE_p_TCGAb56_SNP_1N_GenomeWideSNP_6_B02_666898.CEL	0.97353	0.97172	0.95008	0.98336	female	0.31793	2.04497	2.04497	2.16500	2.05500	2.49000
CUSKS_p_TCGAb47_SNP_1N_GenomeWideSNP_6_D04_628328.CEL	0.97783	0.97301	0.96940	0.98336	female	0.28794	1.85225	1.85225	2.23500	2.12500	2.37500
BONZE_p_TCGAb56_SNP_1N_GenomeWideSNP_6_D02_666976.CEL	0.92422	0.89846	0.90016	0.94578	female	0.24126	1.01713	1.01713	0.93500	1.62000	1.35000
BONZE_p_TCGAb56_SNP_1N_GenomeWideSNP_6_F07_667002.CEL	0.97518	0.96658	0.96940	0.98152	female	0.24666	2.24839	2.24839	2.10000	2.06500	2.54500
BONZE_p_TCGAb56_SNP_1N_GenomeWideSNP_6_G09_666924.CEL	0.96128	0.95501	0.93720	0.97351	female	0.28885	1.68094	1.68094	1.56500	1.61500	2.04000
SHAWM_p_TCGAb72_SNP_N_GenomeWideSNP_6_C06_698154.CEL	0.97750	0.97558	0.96296	0.98398	female	0.25225	2.75161	2.75161	3.07500	2.90500	3.10000
SHAWM_p_TCGAb72_SNP_N_GenomeWideSNP_6_B10_698010.CEL	0.98412	0.98458	0.97101	0.98891	female	0.25482	3.68308	3.68308	4.00500	3.66500	4.01500
SHAWM_p_TCGAb72_SNP_N_GenomeWideSNP_6_F11_698086.CEL	0.95136	0.93573	0.92593	0.96858	female	0.22937	1.98073	1.98073	2.01500	1.87000	2.22000
SHAWM_p_TCGAb72_SNP_N_GenomeWideSNP_6_G02_698092.CEL	0.98246	0.97301	0.98390	0.98644	female	0.25500	2.16274	2.16274	2.80500	2.56500	2.77500
SHAWM_p_TCGAb72_SNP_N_GenomeWideSNP_6_G05_697994.CEL	0.88948	0.85347	0.85829	0.91867	female	0.22393	0.00000	0.00000	-0.32000	-0.23500	0.00000
SHUCK_p_TCGAb74and75_SNP_N_GenomeWideSNP_6_C02_730904.CEL	0.94639	0.94087	0.89855	0.96734	female	0.23722	1.98073	1.98073	2.73500	2.50000	2.67000
RANDS_p_TCGA_b109_SNP_1N_GenomeWideSNP_6_C10_771890.CEL	0.94672	0.91003	0.94203	0.96611	female	0.23637	2.09850	2.09850	2.40000	3.12000	3.12500
EXINE_p_TCGA_b142_SNP_N_GenomeWideSNP_6_E06_802376.CEL	0.92621	0.90746	0.90499	0.94331	female	0.24215	2.04497	2.04497	2.94500	3.17500	3.33500
CUSKS_p_TCGAb47_SNP_1N_GenomeWideSNP_6_H09_628242.CEL	0.93713	0.92288	0.90016	0.95810	female	0.22852	1.54176	1.54176	2.29500	1.99500	2.41000
URAEI_p_TCGASNP_b85_N_GenomeWideSNP_6_C03_735192.CEL	0.94242	0.91902	0.91787	0.96303	female	0.22968	2.15203	2.15203	2.88500	2.24000	2.66500
JOUAL_p_TCGA_b96_SNP_N_GenomeWideSNP_6_C05_748002.CEL	0.87922	0.85861	0.84058	0.90388	female	0.23469	0.00000	0.00000	-0.05500	0.00000	0.00000
EXINE_p_TCGA_b142_SNP_N_GenomeWideSNP_6_B02_802422.CEL	0.96062	0.95501	0.93076	0.97474	female	0.23127	2.63383	2.63383	3.19000	3.44500	3.63000
COMIC_p_TCGA_b142_SNP_S_GenomeWideSNP_6_H09_804514.CEL	0.93349	0.91774	0.91304	0.94886	female	0.25802	0.89936	0.89936	0.69000	0.59000	1.31500
EXINE_p_TCGA_b142_SNP_N_GenomeWideSNP_6_D12_802394.CEL	0.95069	0.93445	0.91465	0.97227	female	0.24236	2.34475	2.34475	3.09500	3.52000	3.46000
BONZE_p_TCGAb56_SNP_1N_GenomeWideSNP_6_C08_666904.CEL	0.97253	0.96787	0.96779	0.97659	female	0.27212	1.91649	1.91649	1.88500	2.09500	2.27500
CUSKS_p_TCGAb47_SNP_1N_GenomeWideSNP_6_H01_628304.CEL	0.97253	0.96401	0.96618	0.97905	female	0.23027	2.00214	2.00214	2.56500	2.58500	2.84000
BONZE_p_TCGAb56_SNP_1N_GenomeWideSNP_6_B08_667044.CEL	0.95069	0.93445	0.94525	0.96057	female	0.24218	1.69165	1.69165	1.75500	1.81000	2.25500
BONZE_p_TCGAb56_SNP_1N_GenomeWideSNP_6_C03_666970.CEL	0.96889	0.95758	0.95652	0.97905	female	0.22661	2.05567	2.05567	1.85000	2.16500	2.44000
BONZE_p_TCGAb56_SNP_1N_GenomeWideSNP_6_D05_666940.CEL	0.97419	0.97301	0.95330	0.98275	female	0.31001	2.14133	2.14133	2.10500	2.08000	2.43000
HAULS_p_TCGAb47_SNP_2N_GenomeWideSNP_6_C06_628550.CEL	0.97981	0.97558	0.96618	0.98706	female	0.24912	2.36617	2.36617	2.95000	2.45000	2.71000
HAULS_p_TCGAb47_SNP_2N_GenomeWideSNP_6_C09_628510.CEL	0.97849	0.96787	0.96296	0.98953	female	0.23052	2.74090	2.74090	3.37500	3.16500	3.05500
HAULS_p_TCGAb47_SNP_2N_GenomeWideSNP_6_C11_628504.CEL	0.97849	0.97815	0.95330	0.98829	female	0.22157	2.24839	2.24839	2.67500	2.37500	2.85500
BONZE_p_TCGAb56_SNP_1N_GenomeWideSNP_6_D09_666894.CEL	0.94672	0.94087	0.91626	0.96118	female	0.22789	1.54176	1.54176	1.47000	1.88500	1.95500
BONZE_p_TCGAb56_SNP_1N_GenomeWideSNP_6_A08_667016.CEL	0.98379	0.98072	0.96618	0.99199	female	0.25086	2.14133	2.14133	2.55000	2.90000	2.83500
HAULS_p_TCGAb47_SNP_2N_GenomeWideSNP_6_D11_628538.CEL	0.97485	0.97686	0.95330	0.98213	female	0.23326	2.66595	2.66595	3.14500	2.42500	2.85000
BONZE_p_TCGAb56_SNP_1N_GenomeWideSNP_6_B04_666870.CEL	0.96261	0.94730	0.93881	0.97905	female	0.24710	1.76660	1.76660	1.57500	1.98000	2.22000
COZEN_p_TCGAb56_SNP_2N_GenomeWideSNP_6_F05_667086.CEL	0.97121	0.96401	0.95813	0.97967	female	0.25452	1.79872	1.79872	2.28500	2.00500	2.25500
HAULS_p_TCGAb47_SNP_2N_GenomeWideSNP_6_H04_628552.CEL	0.98048	0.97943	0.95813	0.98953	female	0.23381	2.82655	2.82655	3.44000	3.02000	3.41000
COZEN_p_TCGAb56_SNP_2N_GenomeWideSNP_6_F07_667136.CEL	0.96923	0.95887	0.95491	0.97967	female	0.24605	2.18415	2.18415	1.93500	2.52500	2.61500
COZEN_p_TCGAb56_SNP_2N_GenomeWideSNP_6_H06_667222.CEL	0.98511	0.98843	0.97585	0.98706	female	0.26387	3.38330	3.38330	3.47500	3.08500	3.63000
SHUCK_p_TCGAb74and75_SNP_N_GenomeWideSNP_6_B06_731038.CEL	0.95831	0.96401	0.91465	0.97227	female	0.24850	2.46253	2.46253	2.98000	3.11000	3.03500
SHUCK_p_TCGAb74and75_SNP_N_GenomeWideSNP_6_A10_730924.CEL	0.91297	0.88817	0.86312	0.94393	female	0.24135	2.37687	2.37687	2.83000	2.94500	2.85000
SHUCK_p_TCGAb74and75_SNP_N_GenomeWideSNP_6_D05_730984.CEL	0.94209	0.92674	0.91143	0.96118	female	0.23409	2.67666	2.67666	3.55000	3.01000	3.41500
ETUIS_p_TCGASNP_b80_83_N_GenomeWideSNP_6_E08_734682.CEL	0.96956	0.95887	0.95813	0.97905	female	0.27115	2.06638	2.06638	2.62000	2.76000	2.89000
COZEN_p_TCGAb56_SNP_2N_GenomeWideSNP_6_G11_667066.CEL	0.97750	0.96915	0.96940	0.98460	female	0.27260	2.25910	2.25910	2.52000	2.47500	2.90000
