SNP	Gene	TotalDuration	KEG_Duration	NB_Duration	Psi_Duration	LRT_Eta	P_Eta	LRT_Gamma	P_Gamma	Lik	LikEta	LikGamma	Kappa	Eta	Gamma	Phi	Psi	Fail_Full	Fail_Full_eta	Fail_full_gamma	Fail_Eta	Fail_Gamma	Coeff_0	Coeff_1	Coeff_2	Coeff_3	Coeff_4	Coeff_5	Coeff_6	Coeff_7	Coeff_8	Coeff_9	Coeff_10	Coeff_11	Coeff_12	Coeff_13	Coeff_14	Coeff_15	Coeff_16	Coeff_17	Coeff_18	Coeff_19	Coeff_20	Coeff_21	Coeff_22	Coeff_23	Coeff_24	Coeff_25	Coeff_26	Coeff_27	Coeff_28	Coeff_29	Coeff_30	Coeff_31	Coeff_32	Coeff_33	Coeff_34	Coeff_35	Coeff_36	CisTrans_Score	CisTrans_Pval	CisTrans_Fail
12	184	5.07e+00	5.82e-01	4.04e+00	4.25e-01	5.367553e-01	4.6378e-01	3.746545e-01	5.4048e-01	-3.6631e+03	-3.6634e+03	-3.6633e+03	2.3443e+00	7.2746e-01	9.2586e-01	4.2061e-01	8.3473e-02	2	2	2	2	2	6.2016e-01	-1.3458e-01	-2.4211e-01	-2.1362e-01	-5.0830e-01	-1.8173e-01	-4.0831e-01	-2.3669e-01	-7.8889e-02	-4.3165e-01	-3.3052e-01	-5.5367e-01	-2.2561e-01	-1.0257e-01	1.1217e-01	-1.9403e-02	4.2557e-01	2.9001e-01	3.4668e-01	2.2636e-01	8.1087e-02	1.6855e-01	2.1416e-01	4.4926e-01	3.4830e-01	2.5115e-01	2.3519e-01	4.5195e-01	3.3755e-01	-1.1978e-03	8.4967e-01	4.2250e-01	2.9930e+00	-3.4886e-01	-6.8623e-01	2.0105e-02	-3.1326e-01	2.0930e-01	9.0064e-01	0
13	107	9.39e+00	1.19e+00	4.20e+00	3.95e+00	1.507926e-01	6.9778e-01	1.731065e-01	6.7737e-01	-7.8899e+03	-7.8900e+03	-7.8900e+03	2.6962e+00	9.0670e-01	1.0334e+00	4.0182e-01	1.8558e-01	2	2	2	2	2	1.0750e+00	-7.8058e-02	-2.2906e-01	-1.0063e-01	-3.3821e-01	-4.5188e-01	-3.0036e-01	-2.5847e-01	-6.9387e-02	-3.2857e-01	-1.9137e-01	-3.4812e-01	-1.5193e-01	-1.8644e-01	2.1128e-01	-4.1146e-02	6.7318e-01	1.3365e-01	1.9812e-01	2.9110e-01	1.1725e-01	1.9640e-01	1.9924e-01	1.5583e-01	5.8749e-01	3.7064e-01	8.3513e-02	4.7227e-01	3.8444e-01	-2.5597e-03	7.8510e-01	7.1134e-01	-4.1105e-02	1.1903e+00	1.3260e-01	-5.9383e-01	-1.5711e-01	2.3133e+00	3.1454e-01	1
13	184	5.15e+00	5.74e-01	4.02e+00	5.42e-01	2.491455e-01	6.1768e-01	5.234557e-02	8.1903e-01	-3.6650e+03	-3.6651e+03	-3.6650e+03	2.3466e+00	8.1371e-01	1.0281e+00	4.2133e-01	8.6544e-02	2	2	2	2	2	6.1254e-01	-1.3423e-01	-2.2517e-01	-2.1245e-01	-5.1250e-01	-1.9319e-01	-4.1911e-01	-2.3805e-01	-8.7669e-02	-4.3420e-01	-3.4175e-01	-5.7330e-01	-2.3947e-01	-9.3534e-02	1.2386e-01	-1.3951e-04	4.4220e-01	3.0712e-01	3.4995e-01	2.3048e-01	1.0582e-01	1.8570e-01	2.1346e-01	4.7411e-01	3.6352e-01	2.6654e-01	2.6139e-01	4.6889e-01	3.5612e-01	-1.1240e-03	8.7353e-01	4.1852e-01	3.0159e+00	-3.7444e-01	-7.1504e-01	3.6190e-03	-3.0444e-01	3.6837e+00	1.5852e-01	1
14	107	1.07e+01	2.04e-01	4.03e+00	6.33e+00	8.610991e-02	7.6918e-01	2.266198e-01	6.3404e-01	-7.8895e+03	-7.8895e+03	-7.8896e+03	2.8772e+00	7.2814e-01	8.7722e-01	4.0138e-01	1.8550e-01	0	0	0	2	2	1.0688e+00	-7.1832e-02	-2.2193e-01	-9.6619e-02	-3.3135e-01	-4.4231e-01	-2.9660e-01	-2.5251e-01	-6.5135e-02	-3.1807e-01	-1.8561e-01	-3.4049e-01	-1.4667e-01	-1.8797e-01	2.1274e-01	-4.1607e-02	6.6750e-01	1.2880e-01	1.9288e-01	2.8539e-01	1.1559e-01	1.9296e-01	1.9968e-01	1.5058e-01	5.7909e-01	3.6444e-01	8.1858e-02	4.7186e-01	3.7622e-01	-2.5518e-03	7.9592e-01	6.9530e-01	-5.0147e-02	1.2104e+00	1.2997e-01	-5.9876e-01	-1.5185e-01	4.0560e-01	8.1644e-01	0
14	184	4.79e+00	1.88e-01	4.08e+00	4.72e-01	1.376387e+00	2.4072e-01	5.757204e-01	4.4799e-01	-3.6633e+03	-3.6640e+03	-3.6636e+03	2.5826e+00	2.5925e-05	8.2453e-01	4.2112e-01	8.0713e-02	2	2	2	2	2	6.0148e-01	-1.2580e-01	-1.9071e-01	-2.0381e-01	-5.0380e-01	-1.6932e-01	-4.1994e-01	-2.3566e-01	-8.1834e-02	-4.0833e-01	-3.2560e-01	-5.6029e-01	-2.3092e-01	-9.3807e-02	1.2069e-01	4.3364e-03	4.3936e-01	3.0393e-01	3.4123e-01	2.2012e-01	1.1843e-01	1.7994e-01	2.1804e-01	4.6204e-01	3.5711e-01	2.5505e-01	2.6414e-01	4.8052e-01	3.4082e-01	-1.1347e-03	9.2203e-01	3.6868e-01	2.9524e+00	-3.4077e-01	-7.2967e-01	-5.2372e-02	-3.0167e-01	1.7339e+00	4.2022e-01	0
15	107	8.22e+00	3.66e-01	4.19e+00	3.54e+00	2.726910e-01	6.0153e-01	7.314940e-01	3.9240e-01	-7.8896e+03	-7.8897e+03	-7.8900e+03	2.7853e+00	7.5694e-01	1.1378e+00	4.0144e-01	1.8559e-01	0	0	0	2	2	1.0717e+00	-7.7503e-02	-2.2843e-01	-1.0293e-01	-3.3439e-01	-4.5226e-01	-3.0194e-01	-2.5421e-01	-6.9474e-02	-3.2597e-01	-1.8413e-01	-3.4450e-01	-1.5178e-01	-1.8496e-01	2.1927e-01	-3.8860e-02	6.7200e-01	1.3165e-01	1.9874e-01	2.9371e-01	1.1411e-01	1.9928e-01	2.0454e-01	1.5421e-01	5.8379e-01	3.7552e-01	8.3798e-02	4.7149e-01	3.8743e-01	-2.6183e-03	7.8167e-01	6.9208e-01	-4.6526e-02	1.2148e+00	1.3433e-01	-5.9097e-01	-1.5507e-01	2.9887e+00	2.2439e-01	0
15	184	5.35e+00	2.77e-01	4.67e+00	3.64e-01	8.528991e-01	3.5573e-01	3.640786e+00	5.6380e-02	-3.6628e+03	-3.6632e+03	-3.6646e+03	2.3159e+00	3.5643e-01	1.5192e+00	4.1549e-01	9.1600e-02	2	2	2	2	2	6.0913e-01	-1.3472e-01	-2.2120e-01	-2.1122e-01	-4.9437e-01	-1.8429e-01	-4.3838e-01	-2.2484e-01	-8.9292e-02	-4.2609e-01	-3.1166e-01	-5.6415e-01	-2.2764e-01	-9.4132e-02	1.5570e-01	2.7557e-02	4.4077e-01	3.0639e-01	3.6248e-01	2.5011e-01	1.1004e-01	2.0884e-01	2.4875e-01	4.8300e-01	3.6837e-01	2.9760e-01	2.6664e-01	4.8175e-01	3.8283e-01	-1.3813e-03	8.6643e-01	3.2273e-01	2.9994e+00	-3.1462e-01	-7.0988e-01	-3.6920e-04	-3.0584e-01	9.5980e+01	1.4393e-21	0
15	184	4.89e+00	2.14e-01	4.67e+00	0.00e+00	3.492555e+00	6.1645e-02	1.139001e+01	7.3840e-04	-3.3357e+03	-3.3374e+03	-3.3414e+03	2.0575e+00	4.8287e-04	1.9909e+00	4.1364e-01	-1.0000e+00	2	2	2	2	2	6.1686e-01	-1.3404e-01	-2.1339e-01	-2.0344e-01	-4.7663e-01	-1.7732e-01	-4.4417e-01	-2.0775e-01	-8.6094e-02	-4.1743e-01	-2.8636e-01	-5.5553e-01	-2.1728e-01	-9.6218e-02	1.7942e-01	4.4612e-02	4.3554e-01	3.0892e-01	3.6822e-01	2.6547e-01	1.0686e-01	2.2096e-01	2.7497e-01	4.9402e-01	3.7877e-01	3.1857e-01	2.6809e-01	4.8687e-01	3.9929e-01	-1.4850e-03	8.4420e-01	2.3858e-01	2.9655e+00	-2.8204e-01	-7.0122e-01	1.3498e-02	-3.0486e-01	1.0000e+00	2.9081e-11	0
16	107	1.10e+01	2.00e-01	4.07e+00	6.63e+00	2.337670e-01	6.2874e-01	2.241456e-01	6.3590e-01	-7.8899e+03	-7.8900e+03	-7.8900e+03	2.8893e+00	1.6805e+00	8.5398e-01	4.0166e-01	1.8570e-01	0	0	0	2	2	1.0684e+00	-7.7761e-02	-2.2816e-01	-1.0222e-01	-3.4176e-01	-4.5145e-01	-3.0266e-01	-2.5935e-01	-7.1709e-02	-3.3292e-01	-1.9143e-01	-3.4960e-01	-1.4915e-01	-1.8369e-01	2.1001e-01	-4.0026e-02	6.7404e-01	1.3443e-01	1.9847e-01	2.9141e-01	1.2048e-01	1.9937e-01	2.0158e-01	1.5405e-01	5.8556e-01	3.7298e-01	8.6571e-02	4.7203e-01	3.8546e-01	-2.5394e-03	7.7260e-01	7.0718e-01	-2.3707e-02	1.1813e+00	1.4323e-01	-5.9011e-01	-1.5757e-01	1.1778e+00	5.5493e-01	0
16	184	4.44e+00	1.68e-01	3.77e+00	4.63e-01	2.657671e-01	6.0619e-01	4.358701e-02	8.3462e-01	-3.6643e+03	-3.6644e+03	-3.6643e+03	2.5972e+00	4.2967e+00	6.7737e-01	4.2177e-01	8.4344e-02	0	0	0	2	2	6.0136e-01	-1.4153e-01	-2.2219e-01	-2.1747e-01	-5.2283e-01	-1.9533e-01	-4.3203e-01	-2.4515e-01	-9.6368e-02	-4.5520e-01	-3.5235e-01	-5.6999e-01	-2.6383e-01	-9.0156e-02	1.1548e-01	3.8159e-04	4.4977e-01	2.9490e-01	3.5604e-01	2.3738e-01	1.1829e-01	1.9044e-01	2.1066e-01	4.6202e-01	3.5821e-01	2.5551e-01	2.5599e-01	4.6645e-01	3.4950e-01	-1.0983e-03	1.0014e+00	3.4676e-01	3.0218e+00	-3.9219e-01	-6.7587e-01	3.1541e-02	-3.0582e-01	5.2092e+00	7.3933e-02	0
17	107	7.03e+00	7.48e-01	4.37e+00	1.82e+00	2.530022e-01	6.1497e-01	4.680051e-03	9.4546e-01	-7.8897e+03	-7.8898e+03	-7.8897e+03	2.6033e+00	8.6485e-01	9.9842e-01	4.0217e-01	1.8534e-01	2	2	2	2	2	1.0826e+00	-7.5992e-02	-2.3206e-01	-1.0531e-01	-3.4043e-01	-4.5370e-01	-2.9885e-01	-2.5397e-01	-6.8025e-02	-3.3154e-01	-1.9293e-01	-3.5209e-01	-1.5444e-01	-1.9086e-01	2.0924e-01	-4.2330e-02	6.6934e-01	1.3337e-01	1.9031e-01	2.9134e-01	1.1207e-01	1.8627e-01	1.9929e-01	1.6172e-01	5.8465e-01	3.6515e-01	7.8625e-02	4.6627e-01	3.7559e-01	-2.6056e-03	7.9315e-01	7.0409e-01	3.2693e-03	1.1679e+00	1.5692e-01	-6.0655e-01	-1.5709e-01	3.2386e+00	1.9803e-01	0
18	107	6.07e+00	4.14e-01	3.96e+00	1.56e+00	4.556092e-02	8.3098e-01	7.293611e-01	3.9309e-01	-7.8896e+03	-7.8897e+03	-7.8900e+03	3.2935e+00	1.0601e+00	8.9286e-01	4.0161e-01	1.8544e-01	2	2	2	2	2	1.0642e+00	-7.6052e-02	-2.1942e-01	-9.8494e-02	-3.4380e-01	-4.4780e-01	-2.9979e-01	-2.5000e-01	-6.9664e-02	-3.2783e-01	-1.9234e-01	-3.4930e-01	-1.4452e-01	-1.8523e-01	2.0986e-01	-4.1129e-02	6.6293e-01	1.2866e-01	1.9757e-01	2.9337e-01	1.1154e-01	1.9870e-01	1.9940e-01	1.5634e-01	5.8047e-01	3.7163e-01	8.9850e-02	4.7060e-01	3.8226e-01	-2.5056e-03	7.7312e-01	7.4962e-01	-1.1924e-02	1.1954e+00	1.2704e-01	-5.8357e-01	-1.5185e-01	5.4448e+00	6.5716e-02	1
19	107	6.81e+00	7.24e-01	4.70e+00	1.27e+00	1.589731e+00	2.0736e-01	3.539889e+00	5.9909e-02	-7.8883e+03	-7.8891e+03	-7.8900e+03	4.2454e+00	1.4417e+00	8.3260e-01	4.0306e-01	1.8372e-01	2	2	2	2	2	1.0383e+00	-8.6500e-02	-2.2830e-01	-9.6263e-02	-3.4033e-01	-4.5360e-01	-3.1244e-01	-2.6507e-01	-8.3680e-02	-3.3858e-01	-2.0481e-01	-3.6668e-01	-1.6530e-01	-1.7354e-01	2.1213e-01	-3.5619e-02	6.7246e-01	1.4126e-01	2.0479e-01	3.0533e-01	1.1913e-01	2.1118e-01	2.2606e-01	1.6627e-01	6.0186e-01	3.9079e-01	1.1078e-01	4.8399e-01	4.0847e-01	-2.7362e-03	7.9281e-01	6.6998e-01	-6.7322e-02	1.1945e+00	1.4465e-01	-5.1831e-01	-1.7659e-01	4.4133e+00	1.1007e-01	0
20	107	1.04e+01	2.26e-01	4.12e+00	5.91e+00	9.442675e-02	7.5862e-01	1.025439e-01	7.4880e-01	-7.8899e+03	-7.8900e+03	-7.8900e+03	2.9070e+00	1.2612e+00	9.1029e-01	4.0190e-01	1.8561e-01	0	0	0	2	2	1.0679e+00	-7.8310e-02	-2.2362e-01	-1.0269e-01	-3.4067e-01	-4.5200e-01	-3.0108e-01	-2.6015e-01	-7.0604e-02	-3.2918e-01	-1.9364e-01	-3.4830e-01	-1.5212e-01	-1.8430e-01	2.1042e-01	-4.0069e-02	6.7262e-01	1.3263e-01	1.9766e-01	2.9105e-01	1.1470e-01	1.9964e-01	2.0028e-01	1.5422e-01	5.8191e-01	3.7059e-01	8.4459e-02	4.7034e-01	3.8339e-01	-2.5368e-03	7.7550e-01	7.0376e-01	-2.4784e-02	1.1950e+00	1.5354e-01	-5.9709e-01	-1.5725e-01	2.0227e-01	9.0381e-01	0
21	107	6.86e+00	9.33e-01	4.30e+00	1.54e+00	1.604496e-01	6.8874e-01	2.596596e-01	6.1035e-01	-7.8892e+03	-7.8892e+03	-7.8893e+03	2.6864e+00	8.7992e-01	9.5690e-01	4.0203e-01	1.8482e-01	2	2	2	2	2	1.0802e+00	-8.1531e-02	-2.2385e-01	-9.5193e-02	-3.3398e-01	-4.5159e-01	-3.0301e-01	-2.6116e-01	-7.5349e-02	-3.4077e-01	-1.9542e-01	-3.5995e-01	-1.6489e-01	-1.8413e-01	2.2040e-01	-3.2236e-02	6.7709e-01	1.3993e-01	2.0442e-01	2.9917e-01	1.2505e-01	2.0468e-01	2.0410e-01	1.6183e-01	5.9455e-01	3.8608e-01	9.4945e-02	4.7099e-01	3.9651e-01	-2.4188e-03	7.7171e-01	7.1392e-01	-2.5485e-02	1.1821e+00	1.4389e-01	-6.1660e-01	-1.6321e-01	1.7727e+00	4.1216e-01	0
223	26	2.44e+00	1.70e-01	2.12e+00	1.41e-01	9.590154e-01	3.2744e-01	1.908489e-01	6.6221e-01	-5.0059e+03	-5.0063e+03	-5.0060e+03	9.0251e-01	8.4412e-01	1.0572e+00	1.7597e-01	8.3798e-02	0	0	0	0	0	1.0332e+00	2.5438e-01	-2.8686e-02	-6.6973e-02	-3.7075e-01	-8.6634e-02	-1.3948e-01	-1.6870e-01	-1.1483e-01	-1.3782e-01	-1.2273e-02	-2.4318e-01	3.6342e-01	-4.8929e-02	6.5283e-02	-4.6630e-02	9.5133e-01	-6.9237e-03	2.2364e-01	1.6586e-01	2.0143e-01	5.3101e-01	1.8604e-01	9.8731e-03	7.7037e-02	2.1878e-01	5.2472e-02	4.0784e-01	1.1685e-01	-2.5743e-03	3.4360e-01	1.7663e+00	1.5135e+00	3.5726e-02	-1.3943e+00	-4.2803e-01	-1.3618e-01	2.0834e+00	3.5286e-01	0
224	26	1.93e+00	1.39e-01	1.64e+00	1.41e-01	6.064127e-01	4.3614e-01	9.434641e-01	3.3139e-01	-5.0060e+03	-5.0063e+03	-5.0065e+03	1.0280e+00	1.1663e+00	8.5340e-01	1.7656e-01	8.2186e-02	0	0	0	0	0	1.0250e+00	2.4762e-01	-3.4053e-02	-7.6076e-02	-3.8256e-01	-9.7162e-02	-1.5577e-01	-1.8054e-01	-1.2833e-01	-1.5351e-01	-2.6943e-02	-2.6430e-01	3.4576e-01	-5.0625e-02	6.2389e-02	-4.9938e-02	9.5259e-01	-1.0810e-02	2.1826e-01	1.6688e-01	2.0220e-01	5.1865e-01	1.8619e-01	-1.5108e-03	9.1733e-02	2.2463e-01	5.7937e-02	4.0636e-01	1.2225e-01	-2.6620e-03	2.8463e-01	1.7896e+00	1.5150e+00	1.6084e-02	-1.3937e+00	-4.5726e-01	-1.3252e-01	2.7309e+00	2.5526e-01	0
